"word","count"
"noun_1421",2
"noun_1422",1
"noun_1423",2
"noun_1424",1
"noun_1425",3
"noun_1426",1
"noun_1429",35
"noun_143",1
"noun_1431",8
"noun_1433",1
"noun_1434",10
"noun_1436",2
"noun_1438",8
"noun_144",1
"noun_1440",1
"noun_1442",7
"noun_1443",1
"noun_1445",133
"noun_1446",1
"noun_1447",1
"noun_1448",1
"noun_1449",3
"noun_145",1
"noun_1450",6
"noun_1452",1
"noun_1453",2
"noun_1456",6
"noun_1458",10
"noun_1459",1
"noun_146",2
"noun_1460",1
"noun_1461",1
"noun_1462",1
"noun_1466",3
"noun_1468",1
"noun_1469",1
"noun_147",1
"noun_1470",91
"noun_1471",1
"noun_1472",5
"noun_1473",1
"noun_1474",3
"noun_1478",1
"noun_1479",8
"noun_148",9
"noun_1480",68
"noun_1481",1
"noun_1482",23
"noun_1485",1
"noun_1486",1
"noun_1489",4
"noun_149",90
"noun_1490",13
"noun_1491",1
"noun_1494",2
"noun_1495",34
"noun_1497",16
"noun_1498",1
"noun_15",156
"noun_150",91
"noun_1500",2
"noun_1501",2
"noun_1503",3
"noun_1504",2
"noun_1508",2
"noun_1509",1
"noun_151",6
"noun_1510",6
"noun_1511",48
"noun_1513",1
"noun_1515",1
"noun_1517",3
"noun_1518",1
"noun_152",7
"noun_1522",1
"noun_1523",1
"noun_1524",4
"noun_1525",11
"noun_1526",18
"noun_1528",8
"noun_1529",160
"noun_153",2
"noun_1530",4
"noun_1531",1
"noun_1532",4
"noun_1534",21
"noun_1535",1
"noun_1536",1
"noun_1538",4
"noun_1539",2
"noun_154",3
"noun_1541",42
"noun_1542",3
"noun_1543",44
"noun_1544",203
"noun_1545",2
"noun_1546",27
"noun_1548",5
"noun_155",13
"noun_1551",3
"noun_1552",33
"noun_1553",1
"noun_1555",1
"noun_1558",12
"noun_1559",1
"noun_1560",65
"noun_1561",3
"noun_1562",13
"noun_1563",1
"noun_1564",23
"noun_1566",2
"noun_1567",2
"noun_1568",3
"noun_157",2
"noun_1570",6
"noun_1571",3
"noun_1572",701
"noun_1573",5
"noun_1574",4
"noun_1575",5
"noun_1576",74
"noun_1577",2
"noun_1578",4
"noun_158",3
"noun_1581",3
"noun_1582",5
"noun_1583",25
"noun_1584",125
"noun_1585",1
"noun_1586",1
"noun_1587",28
"noun_1588",1
"noun_1589",3
"noun_159",1
"noun_1591",1
"noun_1594",1
"noun_1599",88
"noun_16",22
"noun_1600",2
"noun_1601",31
"noun_1602",11
"noun_1605",2
"noun_1606",2
"noun_1608",324
"noun_1609",3
"noun_1611",6
"noun_1613",7
"noun_1615",320
"noun_1616",1
"noun_1617",1
"noun_1618",269
"noun_1619",3
"noun_162",5
"noun_1621",10
"noun_1622",1
"noun_1623",1
"noun_1624",21
"noun_1625",1
"noun_1626",1
"noun_1628",1
"noun_1629",1
"noun_1630",1
"noun_1631",3
"noun_1632",13
"noun_1633",3
"noun_1634",3
"noun_1635",7
"noun_1636",1
"noun_1637",3
"noun_1638",2
"noun_1639",1
"noun_164",1
"noun_1640",40
"noun_1641",3
"noun_1642",47
"noun_1643",34
"noun_1644",15
"noun_1645",1
"noun_1646",1
"noun_1647",1
"noun_1648",10
"noun_1649",1
"noun_165",2
"noun_1650",1
"noun_1651",1
"noun_1652",6
"noun_1653",8
"noun_1654",1
"noun_1655",2
"noun_1656",4
"noun_1657",3
"noun_1658",1
"noun_1659",8
"noun_1660",1
"noun_1661",5
"noun_1662",1
"noun_1663",1
"noun_1664",3
"noun_1665",66
"noun_1666",18
"noun_1667",1
"noun_1669",4
"noun_1670",8
"noun_1671",1
"noun_1672",12
"noun_1674",1
"noun_1675",6
"noun_1677",1
"noun_1678",25
"noun_1679",1
"noun_168",5
"noun_1680",1
"noun_1681",122
"noun_1682",1
"noun_1684",3
"noun_1685",7
"noun_1686",1
"noun_1687",1
"noun_1688",3
"noun_1689",1
"noun_169",2
"noun_1690",3
"noun_1692",2
"noun_1693",5
"noun_1694",1
"noun_1695",1
"noun_1696",5
"noun_1699",1
"noun_170",1
"noun_1700",1
"noun_1701",3
"noun_1702",36
"noun_1704",3
"noun_1705",10
"noun_1706",2
"noun_1707",2
"noun_1708",5159
"noun_1709",3
"noun_171",2
"noun_1710",267
"noun_1711",1
"noun_1714",1
"noun_1715",8
"noun_1716",16
"noun_1717",115
"noun_1718",1
"noun_1719",1
"noun_1721",22
"noun_1722",37
"noun_1723",2
"noun_1724",11
"noun_1725",48
"noun_1726",1
"noun_1727",53
"noun_1728",2
"noun_173",3
"noun_1730",7
"noun_1731",2
"noun_1732",1
"noun_1733",1
"noun_1735",1
"noun_1736",1
"noun_1737",209
"noun_1738",3
"noun_1739",5
"noun_174",1
"noun_1740",1
"noun_1741",13
"noun_1742",21
"noun_1743",9
"noun_1744",2
"noun_1745",2
"noun_1746",11
"noun_1747",1
"noun_1749",91
"noun_1750",1
"noun_1753",1
"noun_1754",24
"noun_1755",11
"noun_1756",587
"noun_1757",1
"noun_1758",1
"noun_176",1
"noun_1760",2
"noun_1761",14
"noun_1762",1
"noun_1763",18
"noun_1765",1
"noun_1766",1
"noun_1767",1
"noun_1769",1
"noun_177",2
"noun_1770",571
"noun_1771",14
"noun_1774",2
"noun_1775",2
"noun_1776",3
"noun_1777",11
"noun_1778",1
"noun_1780",9
"noun_1781",1
"noun_1782",49
"noun_1784",1
"noun_1786",7
"noun_1787",2
"noun_1789",6
"noun_1790",1
"noun_1792",1
"noun_1793",20
"noun_1796",1
"noun_1797",1
"noun_1799",25
"noun_18",18
"noun_180",9
"noun_1800",2
"noun_1801",3
"noun_1802",5
"noun_1803",1
"noun_1805",1
"noun_1808",12
"noun_1809",1
"noun_181",1
"noun_1810",2
"noun_1812",15
"noun_1813",1
"noun_1814",12
"noun_1816",1
"noun_1817",43
"noun_1819",1
"noun_182",2
"noun_1820",70
"noun_1822",1
"noun_1823",1
"noun_1824",3
"noun_1826",8
"noun_1827",5
"noun_1828",1
"noun_1829",1
"noun_1831",1
"noun_1832",1
"noun_1833",1
"noun_1835",13
"noun_1836",40
"noun_1837",5
"noun_1838",5
"noun_1839",1
"noun_184",1
"noun_1840",9
"noun_1842",1
"noun_1843",4
"noun_1844",2
"noun_1845",257
"noun_1846",1
"noun_1847",1
"noun_1848",1
"noun_1849",16
"noun_185",206
"noun_1850",2
"noun_1851",1
"noun_1852",15
"noun_1853",1
"noun_1854",1
"noun_1855",4
"noun_1856",5
"noun_1857",3
"noun_1858",44
"noun_1859",458
"noun_1860",2
"noun_1861",8
"noun_1862",40
"noun_1863",3
"noun_1864",1
"noun_1865",1
"noun_1866",2
"noun_1867",494
"noun_1868",1
"noun_1869",50
"noun_187",3057
"noun_1870",9
"noun_1871",1
"noun_1872",15
"noun_1877",10
"noun_1878",1
"noun_1879",3
"noun_1881",2
"noun_1882",5
"noun_1883",2
"noun_1884",2438
"noun_1886",2
"noun_1887",1
"noun_1888",6
"noun_189",13
"noun_1890",1
"noun_1891",1
"noun_1892",125
"noun_1893",9
"noun_1894",1
"noun_1895",3
"noun_1896",17
"noun_1897",1
"noun_1898",1
"noun_1899",81
"noun_19",1
"noun_190",15
"noun_1900",13
"noun_1901",8
"noun_1902",1
"noun_1903",12
"noun_1904",3
"noun_1905",2730
"noun_1907",1
"noun_1908",1
"noun_1909",124
"noun_191",2
"noun_1911",1
"noun_1913",2
"noun_1914",2
"noun_1915",2
"noun_1916",1
"noun_1918",4
"noun_1919",6
"noun_192",7
"noun_1920",2
"noun_1921",1
"noun_1922",1
"noun_1923",1
"noun_1924",1
"noun_1925",5
"noun_1926",1
"noun_1927",30
"noun_1928",16
"noun_1930",9
"noun_1931",266
"noun_1932",4
"noun_1933",8
"noun_1935",2
"noun_1936",10
"noun_1937",1
"noun_1939",5
"noun_1940",1
"noun_1943",3
"noun_1947",1
"noun_1948",2
"noun_1949",3
"noun_195",5
"noun_1950",2
"noun_1951",3
"noun_1953",1
"noun_1954",1
"noun_1957",1
"noun_1959",1
"noun_196",1
"noun_1960",1
"noun_1961",5
"noun_1962",15
"noun_1963",3
"noun_1964",4
"noun_1967",1
"noun_1968",1
"noun_1969",1
"noun_197",1
"noun_1970",10
"noun_1971",1
"noun_1972",1
"noun_1973",3
"noun_1975",3
"noun_1976",1
"noun_1977",4
"noun_1978",60
"noun_1979",1
"noun_1980",33
"noun_1981",1
"noun_1982",1
"noun_1983",1
"noun_1984",4
"noun_1985",1
"noun_1986",1
"noun_1988",1
"noun_199",1
"noun_1990",1
"noun_1991",5
"noun_1992",4
"noun_1994",19
"noun_1995",1
"noun_1998",2
"noun_1999",3
"noun_20",1
"noun_200",1
"noun_2000",1
"noun_2001",1
"noun_2002",18
"noun_2003",2
"noun_2005",5
"noun_2006",2
"noun_201",1
"noun_2010",28
"noun_2011",1
"noun_2012",8
"noun_2013",10
"noun_2015",5
"noun_2016",3
"noun_2017",4
"noun_2018",1
"noun_2020",1
"noun_2021",1
"noun_2022",49
"noun_2023",8
"noun_2024",62
"noun_2025",1
"noun_2026",1
"noun_2027",1
"noun_2029",3
"noun_203",1
"noun_2031",9
"noun_2032",2
"noun_2033",165
"noun_2034",3
"noun_2037",1
"noun_2038",69
"noun_2039",2
"noun_204",51
"noun_2040",2
"noun_2041",12
"noun_2042",1
"noun_2044",16
"noun_2045",3
"noun_2046",19
"noun_2047",1
"noun_2048",2
"noun_2049",17
"noun_205",45
"noun_2050",11
"noun_2051",73
"noun_2052",12
"noun_2053",7
"noun_2055",1
"noun_2056",17
"noun_2057",3
"noun_2058",1
"noun_2060",1535
"noun_2062",26
"noun_2065",11
"noun_2067",1
"noun_2068",34
"noun_207",9
"noun_2070",1
"noun_2071",1
"noun_2073",4
"noun_2074",7
"noun_2075",33
"noun_2076",6
"noun_2077",1
"noun_2078",2
"noun_2079",2
"noun_2081",1
"noun_2082",1
"noun_2083",2
"noun_2084",1
"noun_2085",84
"noun_2086",6
"noun_2087",1
"noun_2088",4
"noun_209",17
"noun_2091",1
"noun_2092",1
"noun_2094",1
"noun_2095",359
"noun_2097",1
"noun_2098",7
"noun_2099",1
"noun_21",1
"noun_210",1
"noun_2100",4
"noun_2103",1
"noun_2105",2
"noun_2106",2
"noun_2108",16
"noun_2109",7
"noun_2110",2
"noun_2111",5
"noun_2112",53
"noun_2114",3
"noun_2116",1
"noun_2117",37
"noun_2118",1
"noun_2119",1
"noun_2120",1
"noun_2121",11
"noun_2124",4
"noun_2125",37
"noun_2127",1
"noun_2128",9
"noun_2129",2
"noun_213",7
"noun_2130",2
"noun_2131",3
"noun_2132",2
"noun_2133",2
"noun_2136",1
"noun_2137",1
"noun_2138",61
"noun_2139",2
"noun_214",158
"noun_2140",1
"noun_2141",16
"noun_2142",2
"noun_2143",3
"noun_2144",14
"noun_2146",1
"noun_2148",1
"noun_215",1
"noun_2152",23
"noun_2153",2
"noun_2155",45
"noun_2156",277
"noun_2158",3
"noun_2159",1
"noun_216",6
"noun_2161",1
"noun_2162",4
"noun_2163",1
"noun_2165",150
"noun_2166",1
"noun_2167",1
"noun_2168",20
"noun_217",4
"noun_2170",2
"noun_2171",30
"noun_2173",1
"noun_2174",17
"noun_2176",1
"noun_2179",17
"noun_218",6
"noun_2181",4
"noun_2184",12
"noun_2185",3
"noun_2186",1
"noun_2188",1
"noun_2189",38
"noun_219",1
"noun_2190",558
"noun_2191",1
"noun_2192",1
"noun_2193",2
"noun_2194",26
"noun_2196",2
"noun_2197",1
"noun_2198",2
"noun_2199",1
"noun_22",1
"noun_220",1
"noun_2200",46
"noun_2201",4
"noun_2202",1
"noun_2203",2
"noun_2207",66
"noun_2208",2
"noun_2209",13
"noun_2210",1
"noun_2211",27
"noun_2212",3
"noun_2214",1
"noun_2215",23
"noun_2216",3
"noun_2217",1
"noun_2218",1
"noun_2222",3
"noun_2223",9
"noun_2225",4
"noun_2226",4
"noun_2227",6
"noun_2228",14
"noun_2229",3
"noun_223",1
"noun_2230",1
"noun_2232",2
"noun_2233",2
"noun_2234",5
"noun_2235",4
"noun_2236",1
"noun_2237",1
"noun_2238",1
"noun_2239",11
"noun_2240",1209
"noun_2241",1
"noun_2243",1
"noun_2244",4
"noun_2246",2505
"noun_2247",1
"noun_2248",17
"noun_2249",72
"noun_2250",38
"noun_2253",6
"noun_2254",7
"noun_2255",3
"noun_2256",1
"noun_2258",9
"noun_226",5
"noun_2260",1
"noun_2262",1
"noun_2264",26
"noun_2265",1
"noun_2267",1
"noun_2270",2
"noun_2272",100
"noun_2273",10
"noun_2274",2
"noun_2275",1
"noun_2276",12
"noun_2277",1
"noun_2278",2
"noun_2279",1
"noun_2280",86
"noun_2281",7
"noun_2282",7
"noun_2283",49
"noun_2285",174
"noun_2286",2
"noun_2287",1
"noun_2288",5
"noun_2289",11
"noun_2290",1
"noun_2292",2
"noun_2293",5
"noun_2294",1
"noun_2295",5
"noun_2296",9
"noun_2297",27
"noun_2299",1
"noun_23",7
"noun_230",12
"noun_2301",1
"noun_2302",1
"noun_2303",151
"noun_2304",2
"noun_2305",1
"noun_2306",10
"noun_2308",13
"noun_2309",10
