"word","count"
"noun_1346",1
"noun_1347",3
"noun_1348",1
"noun_1349",1
"noun_135",4
"noun_1350",9
"noun_1352",1
"noun_1353",1
"noun_1354",2
"noun_1355",45
"noun_1356",41
"noun_1357",17
"noun_1359",5
"noun_136",1
"noun_1360",1
"noun_1361",22
"noun_1362",2
"noun_1363",1
"noun_1364",2
"noun_1365",29
"noun_1366",4
"noun_1367",7
"noun_1368",1
"noun_1369",1
"noun_137",9
"noun_1370",3
"noun_1371",3
"noun_1372",16
"noun_1373",26
"noun_1374",1
"noun_1375",1
"noun_1376",1
"noun_1377",1
"noun_1378",4
"noun_1379",2
"noun_138",1
"noun_1380",1
"noun_1381",1
"noun_1382",3
"noun_1383",1
"noun_1384",8
"noun_1385",5
"noun_1386",1
"noun_1387",42
"noun_1388",2
"noun_1389",1
"noun_139",124
"noun_1390",3
"noun_1391",1
"noun_1392",87
"noun_1393",14
"noun_1394",3
"noun_1395",1
"noun_1396",11
"noun_1397",1
"noun_1398",149
"noun_1399",125
"noun_14",1
"noun_140",2
"noun_1400",2
"noun_1402",3
"noun_1404",198
"noun_1405",9
"noun_1406",2
"noun_1408",5
"noun_1409",3
"noun_141",1
"noun_1410",7
"noun_1411",73
"noun_1412",445
"noun_1413",28
"noun_1414",1
"noun_1415",1
"noun_1416",1
"noun_1417",1
"noun_1418",53
"noun_1419",42
"noun_142",1
"noun_1420",1
"noun_1421",2
"noun_1422",1
"noun_1423",1
"noun_1424",3
"noun_1425",3
"noun_1426",1
"noun_1427",3
"noun_1428",53
"noun_1429",37
"noun_143",1
"noun_1430",1
"noun_1431",8
"noun_1433",1
"noun_1434",9
"noun_1435",1
"noun_1436",3
"noun_1437",1
"noun_1438",8
"noun_1439",1
"noun_144",1
"noun_1440",1
"noun_1441",2
"noun_1442",7
"noun_1443",2
"noun_1444",1
"noun_1445",134
"noun_1446",1
"noun_1448",1
"noun_1449",3
"noun_145",1
"noun_1450",3
"noun_1451",1
"noun_1452",1
"noun_1453",2
"noun_1454",4
"noun_1456",5
"noun_1457",18
"noun_1458",10
"noun_1459",1
"noun_146",2
"noun_1460",3
"noun_1461",1
"noun_1462",1
"noun_1463",1
"noun_1464",2
"noun_1465",1
"noun_1466",3
"noun_1468",1
"noun_1469",1
"noun_147",1
"noun_1470",86
"noun_1471",1
"noun_1472",7
"noun_1473",1
"noun_1474",4
"noun_1475",63
"noun_1476",1
"noun_1477",16
"noun_1478",1
"noun_1479",9
"noun_148",8
"noun_1480",71
"noun_1481",1
"noun_1482",21
"noun_1483",1
"noun_1484",1
"noun_1485",1
"noun_1486",1
"noun_1488",51
"noun_1489",4
"noun_149",100
"noun_1490",11
"noun_1491",1
"noun_1492",1
"noun_1493",11
"noun_1494",1
"noun_1495",36
"noun_1496",4
"noun_1497",20
"noun_1498",1
"noun_1499",2
"noun_15",113
"noun_150",95
"noun_1500",2
"noun_1502",0
"noun_1503",6
"noun_1504",2
"noun_1505",1
"noun_1506",1
"noun_1507",1
"noun_1508",3
"noun_1510",5
"noun_1511",51
"noun_1512",19
